step:890/1555 train_time:39550ms step_avg:44.44ms
step:891/1555 train_time:39611ms step_avg:44.46ms
step:892/1555 train_time:39670ms step_avg:44.47ms
step:893/1555 train_time:39729ms step_avg:44.49ms
step:894/1555 train_time:39789ms step_avg:44.51ms
step:895/1555 train_time:39847ms step_avg:44.52ms
step:896/1555 train_time:39905ms step_avg:44.54ms
step:897/1555 train_time:39967ms step_avg:44.56ms
step:898/1555 train_time:40024ms step_avg:44.57ms
step:899/1555 train_time:40088ms step_avg:44.59ms
step:900/1555 train_time:40143ms step_avg:44.60ms
step:901/1555 train_time:40202ms step_avg:44.62ms
step:902/1555 train_time:40263ms step_avg:44.64ms
step:903/1555 train_time:40323ms step_avg:44.65ms
step:904/1555 train_time:40383ms step_avg:44.67ms
step:905/1555 train_time:40444ms step_avg:44.69ms
step:906/1555 train_time:40501ms step_avg:44.70ms
step:907/1555 train_time:40562ms step_avg:44.72ms
step:908/1555 train_time:40621ms step_avg:44.74ms
step:909/1555 train_time:40682ms step_avg:44.75ms
step:910/1555 train_time:40740ms step_avg:44.77ms
step:911/1555 train_time:40802ms step_avg:44.79ms
step:912/1555 train_time:40858ms step_avg:44.80ms
step:913/1555 train_time:40920ms step_avg:44.82ms
step:914/1555 train_time:40977ms step_avg:44.83ms
step:915/1555 train_time:41038ms step_avg:44.85ms
step:916/1555 train_time:41095ms step_avg:44.86ms
step:917/1555 train_time:41157ms step_avg:44.88ms
step:918/1555 train_time:41215ms step_avg:44.90ms
step:919/1555 train_time:41277ms step_avg:44.92ms
step:920/1555 train_time:41334ms step_avg:44.93ms
step:921/1555 train_time:41392ms step_avg:44.94ms
step:922/1555 train_time:41449ms step_avg:44.96ms
step:923/1555 train_time:41509ms step_avg:44.97ms
step:924/1555 train_time:41566ms step_avg:44.98ms
step:925/1555 train_time:41627ms step_avg:45.00ms
step:926/1555 train_time:41689ms step_avg:45.02ms
step:927/1555 train_time:41750ms step_avg:45.04ms
step:928/1555 train_time:41807ms step_avg:45.05ms
step:929/1555 train_time:41869ms step_avg:45.07ms
step:930/1555 train_time:41923ms step_avg:45.08ms
step:931/1555 train_time:41983ms step_avg:45.09ms
step:932/1555 train_time:42043ms step_avg:45.11ms
step:933/1555 train_time:42106ms step_avg:45.13ms
step:934/1555 train_time:42165ms step_avg:45.14ms
step:935/1555 train_time:42222ms step_avg:45.16ms
step:936/1555 train_time:42282ms step_avg:45.17ms
step:937/1555 train_time:42341ms step_avg:45.19ms
step:938/1555 train_time:42399ms step_avg:45.20ms
step:939/1555 train_time:42461ms step_avg:45.22ms
step:940/1555 train_time:42520ms step_avg:45.23ms
step:941/1555 train_time:42579ms step_avg:45.25ms
step:942/1555 train_time:42637ms step_avg:45.26ms
step:943/1555 train_time:42697ms step_avg:45.28ms
step:944/1555 train_time:42761ms step_avg:45.30ms
step:945/1555 train_time:42820ms step_avg:45.31ms
step:946/1555 train_time:42875ms step_avg:45.32ms
step:947/1555 train_time:42937ms step_avg:45.34ms
step:948/1555 train_time:42993ms step_avg:45.35ms
step:949/1555 train_time:43055ms step_avg:45.37ms
step:950/1555 train_time:43114ms step_avg:45.38ms
step:951/1555 train_time:43170ms step_avg:45.39ms
step:952/1555 train_time:43232ms step_avg:45.41ms
step:953/1555 train_time:43289ms step_avg:45.42ms
step:954/1555 train_time:43344ms step_avg:45.43ms
step:955/1555 train_time:43408ms step_avg:45.45ms
step:956/1555 train_time:43466ms step_avg:45.47ms
step:957/1555 train_time:43525ms step_avg:45.48ms
step:958/1555 train_time:43581ms step_avg:45.49ms
step:959/1555 train_time:43647ms step_avg:45.51ms
step:960/1555 train_time:43701ms step_avg:45.52ms
step:961/1555 train_time:43764ms step_avg:45.54ms
step:962/1555 train_time:43821ms step_avg:45.55ms
step:963/1555 train_time:43881ms step_avg:45.57ms
step:964/1555 train_time:43942ms step_avg:45.58ms
step:965/1555 train_time:44001ms step_avg:45.60ms
step:966/1555 train_time:44059ms step_avg:45.61ms
step:967/1555 train_time:44122ms step_avg:45.63ms
step:968/1555 train_time:44182ms step_avg:45.64ms
step:969/1555 train_time:44239ms step_avg:45.65ms
step:970/1555 train_time:44302ms step_avg:45.67ms
step:971/1555 train_time:44362ms step_avg:45.69ms
step:972/1555 train_time:44420ms step_avg:45.70ms
step:973/1555 train_time:44479ms step_avg:45.71ms
step:974/1555 train_time:44539ms step_avg:45.73ms
step:975/1555 train_time:44600ms step_avg:45.74ms
step:976/1555 train_time:44659ms step_avg:45.76ms
step:977/1555 train_time:44719ms step_avg:45.77ms
step:978/1555 train_time:44776ms step_avg:45.78ms
step:979/1555 train_time:44838ms step_avg:45.80ms
step:980/1555 train_time:44894ms step_avg:45.81ms
step:981/1555 train_time:44955ms step_avg:45.83ms
step:982/1555 train_time:45015ms step_avg:45.84ms
step:983/1555 train_time:45078ms step_avg:45.86ms
step:984/1555 train_time:45134ms step_avg:45.87ms
step:985/1555 train_time:45193ms step_avg:45.88ms
step:986/1555 train_time:45253ms step_avg:45.90ms
step:987/1555 train_time:45312ms step_avg:45.91ms
step:988/1555 train_time:45368ms step_avg:45.92ms
step:989/1555 train_time:45432ms step_avg:45.94ms
step:990/1555 train_time:45490ms step_avg:45.95ms
step:991/1555 train_time:45549ms step_avg:45.96ms
step:992/1555 train_time:45609ms step_avg:45.98ms
step:993/1555 train_time:45668ms step_avg:45.99ms
step:994/1555 train_time:45726ms step_avg:46.00ms
step:995/1555 train_time:45784ms step_avg:46.01ms
step:996/1555 train_time:45845ms step_avg:46.03ms
step:997/1555 train_time:45908ms step_avg:46.05ms
step:998/1555 train_time:45964ms step_avg:46.06ms
step:999/1555 train_time:46022ms step_avg:46.07ms
step:1000/1555 train_time:46083ms step_avg:46.08ms
step:1000/1555 val_loss:3.5729 train_time:46121ms step_avg:46.12ms
step:1001/1555 train_time:46150ms step_avg:46.10ms
step:1002/1555 train_time:46207ms step_avg:46.11ms
step:1003/1555 train_time:46270ms step_avg:46.13ms
step:1004/1555 train_time:46334ms step_avg:46.15ms
step:1005/1555 train_time:46395ms step_avg:46.16ms
step:1006/1555 train_time:46452ms step_avg:46.18ms
step:1007/1555 train_time:46513ms step_avg:46.19ms
step:1008/1555 train_time:46571ms step_avg:46.20ms
step:1009/1555 train_time:46630ms step_avg:46.21ms
step:1010/1555 train_time:46688ms step_avg:46.23ms
step:1011/1555 train_time:46754ms step_avg:46.25ms
step:1012/1555 train_time:46834ms step_avg:46.28ms
step:1013/1555 train_time:46923ms step_avg:46.32ms
step:1014/1555 train_time:47008ms step_avg:46.36ms
step:1015/1555 train_time:47094ms step_avg:46.40ms
step:1016/1555 train_time:47180ms step_avg:46.44ms
step:1017/1555 train_time:47268ms step_avg:46.48ms
step:1018/1555 train_time:47355ms step_avg:46.52ms
step:1019/1555 train_time:47442ms step_avg:46.56ms
step:1020/1555 train_time:47527ms step_avg:46.60ms
step:1021/1555 train_time:47613ms step_avg:46.63ms
step:1022/1555 train_time:47694ms step_avg:46.67ms
step:1023/1555 train_time:47778ms step_avg:46.70ms
step:1024/1555 train_time:47865ms step_avg:46.74ms
step:1025/1555 train_time:47948ms step_avg:46.78ms
step:1026/1555 train_time:48036ms step_avg:46.82ms
step:1027/1555 train_time:48122ms step_avg:46.86ms
step:1028/1555 train_time:48206ms step_avg:46.89ms
step:1029/1555 train_time:48292ms step_avg:46.93ms
step:1030/1555 train_time:48380ms step_avg:46.97ms
step:1031/1555 train_time:48468ms step_avg:47.01ms
step:1032/1555 train_time:48556ms step_avg:47.05ms
step:1033/1555 train_time:48639ms step_avg:47.09ms
step:1034/1555 train_time:48722ms step_avg:47.12ms
step:1035/1555 train_time:48809ms step_avg:47.16ms
step:1036/1555 train_time:48892ms step_avg:47.19ms
step:1037/1555 train_time:48979ms step_avg:47.23ms
step:1038/1555 train_time:49063ms step_avg:47.27ms
step:1039/1555 train_time:49151ms step_avg:47.31ms
step:1040/1555 train_time:49236ms step_avg:47.34ms
step:1041/1555 train_time:49322ms step_avg:47.38ms
