step:321/1555 train_time:10650ms step_avg:33.18ms
step:322/1555 train_time:10688ms step_avg:33.19ms
step:323/1555 train_time:10716ms step_avg:33.18ms
step:324/1555 train_time:10753ms step_avg:33.19ms
step:325/1555 train_time:10781ms step_avg:33.17ms
step:326/1555 train_time:10818ms step_avg:33.19ms
step:327/1555 train_time:10847ms step_avg:33.17ms
step:328/1555 train_time:10885ms step_avg:33.19ms
step:329/1555 train_time:10913ms step_avg:33.17ms
step:330/1555 train_time:10952ms step_avg:33.19ms
step:331/1555 train_time:10979ms step_avg:33.17ms
step:332/1555 train_time:11016ms step_avg:33.18ms
step:333/1555 train_time:11044ms step_avg:33.17ms
step:334/1555 train_time:11082ms step_avg:33.18ms
step:335/1555 train_time:11111ms step_avg:33.17ms
step:336/1555 train_time:11148ms step_avg:33.18ms
step:337/1555 train_time:11177ms step_avg:33.17ms
step:338/1555 train_time:11214ms step_avg:33.18ms
step:339/1555 train_time:11241ms step_avg:33.16ms
step:340/1555 train_time:11279ms step_avg:33.17ms
step:341/1555 train_time:11308ms step_avg:33.16ms
step:342/1555 train_time:11346ms step_avg:33.18ms
step:343/1555 train_time:11374ms step_avg:33.16ms
step:344/1555 train_time:11411ms step_avg:33.17ms
step:345/1555 train_time:11439ms step_avg:33.16ms
step:346/1555 train_time:11477ms step_avg:33.17ms
step:347/1555 train_time:11506ms step_avg:33.16ms
step:348/1555 train_time:11543ms step_avg:33.17ms
step:349/1555 train_time:11572ms step_avg:33.16ms
step:350/1555 train_time:11610ms step_avg:33.17ms
step:351/1555 train_time:11638ms step_avg:33.16ms
step:352/1555 train_time:11675ms step_avg:33.17ms
step:353/1555 train_time:11704ms step_avg:33.15ms
step:354/1555 train_time:11741ms step_avg:33.17ms
step:355/1555 train_time:11768ms step_avg:33.15ms
step:356/1555 train_time:11806ms step_avg:33.16ms
step:357/1555 train_time:11835ms step_avg:33.15ms
step:358/1555 train_time:11872ms step_avg:33.16ms
step:359/1555 train_time:11902ms step_avg:33.15ms
step:360/1555 train_time:11937ms step_avg:33.16ms
step:361/1555 train_time:11965ms step_avg:33.14ms
step:362/1555 train_time:12003ms step_avg:33.16ms
step:363/1555 train_time:12031ms step_avg:33.14ms
step:364/1555 train_time:12068ms step_avg:33.15ms
step:365/1555 train_time:12097ms step_avg:33.14ms
step:366/1555 train_time:12133ms step_avg:33.15ms
step:367/1555 train_time:12161ms step_avg:33.14ms
step:368/1555 train_time:12200ms step_avg:33.15ms
step:369/1555 train_time:12227ms step_avg:33.14ms
step:370/1555 train_time:12266ms step_avg:33.15ms
